Requirement ID,Domain,Title,Requirement,Priority,Phase,Preliminary Fit,Capability,Accountable Owner,Verification Method,Source Status,Implementation Status,Design Reference,Module Reference,Test Case,UAT Result,Release,Acceptance Notes,Decision / Comments
VAL-009,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Role and outcome clarity,"Each initiative, program, project, and major workstream shall identify accountable and supporting roles, expected contributions, outcomes, decision rights, and acceptance responsibilities.",Must,2,Configure,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Project Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
VAL-010,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Reusable portfolio blueprints,"Authorized administrators shall create governed blueprints that can generate standardized portfolio, program, and project structures, workflows, fields, roles, milestones, dashboards, reports, and controls.",Must,2,Extend,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",PMO Lead,Demonstration,Proposed,Planned,,,,Not Run,Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
VAL-011,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Template-set catalog,"The platform shall provide a searchable catalog of approved template sets for demand intake, strategic planning, PMO operations, project schedules, budget management, transformation programs, IT portfolios, and other DDC5I work patterns.",Must,2,Extend,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",PMO Lead,Demonstration,Proposed,Planned,,,,Not Run,Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
VAL-012,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Rapid blueprint deployment,"Authorized users shall deploy a blueprint or template set to create a new project, program, or portfolio with validated identifiers, inherited governance, required artifacts, and linked reporting in a controlled, repeatable action.",Must,2,Extend,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",PMO Lead,Demonstration,Proposed,Planned,,,,Not Run,Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
VAL-013,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Blueprint versioning,"Blueprints and template sets shall be version controlled, tested, approved, and capable of identifying deployed instances affected by a blueprint change without silently overwriting active work.",Must,2,Extend,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Platform Owner,Demonstration,Proposed,Planned,,,,Not Run,Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
VAL-014,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Project-to-program scaling,"Authorized managers shall group or promote related projects and work packages into programs and portfolios while maintaining ownership, baselines, financials, resources, dependencies, risks, outcomes, and history.",Must,2,Configure,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Portfolio Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
VAL-015,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Standardization with local flexibility,"Enterprise blueprints shall enforce mandatory governance and reporting while permitting approved division- or method-specific fields, workflows, artifacts, and execution views.",Must,2,Configure,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Platform Owner,Demonstration,Proposed,Planned,,,,Not Run,Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
VAL-016,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Methodology selection,"Each project or program shall select an approved agile, waterfall, hybrid, phase-gate, recurring-operations, or configurable methodology and shall receive method-appropriate fields, controls, metrics, and views.",Must,2,Integrate,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",PMO Lead,Demonstration,Proposed,Requires integration,,,,Not Run,Integration roadmap / Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
VAL-017,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Methodology-neutral roll-up,"Portfolio dashboards shall normalize method-specific execution data into common enterprise measures for health, forecast, value, risk, capacity, financial performance, and outcomes without forcing teams into one delivery method.",Must,3,Extend,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Portfolio Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
VAL-018,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Agile portfolio management,"The platform shall support continuous prioritization, value streams or portfolio epics, lean governance, incremental funding or capacity allocation where approved, backlog flow, and adaptive alignment to changing objectives.",Must,3,Extend,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Agile Portfolio Lead,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
VAL-019,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Transformation-program management,"The platform shall support transformation programs that connect strategic outcomes, change initiatives, capability increments, projects, organizational adoption, dependencies, benefits, resources, and executive decisions.",Must,3,Extend,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Transformation Lead,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
VAL-020,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",IT portfolio management,"The platform shall support IT portfolios that connect demand, applications or services, technology investments, projects, technical debt, resources, budgets, risk, modernization roadmaps, and mission value.",Must,3,Extend,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",IT Portfolio Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
VAL-021,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Capability and product-development portfolios,"The platform shall support new capability, product, data-product, standards, and service development portfolios using configurable stage gates, roadmaps, releases, experiments, evidence, transition decisions, and value measures.",Must,3,Extend,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Capability Portfolio Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
VAL-022,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Portfolio optimization,"Authorized analysts shall optimize candidate and active portfolios against configurable objectives and constraints including mission value, mandatory work, budget, capacity, skills, schedule, risk, dependencies, minimum core-function coverage, and strategic balance.",Must,4,Extend,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Portfolio Analyst,Demonstration,Proposed,Planned,,,,Not Run,Phase 4,MVP reference implementation; see known limitations and acceptance checklist.,
VAL-023,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Optimization explainability,"Optimization results shall show included and excluded work, binding constraints, tradeoffs, assumptions, sensitivity, and why a recommended portfolio differs from the current plan.",Must,4,Extend,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Portfolio Analyst,Demonstration,Proposed,Planned,,,,Not Run,Phase 4,MVP reference implementation; see known limitations and acceptance checklist.,
VAL-024,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Incremental value tracking,"Projects and programs shall define planned value increments, associated deliverables, acceptance criteria, target dates, beneficiaries, and realized results so value is measured throughout execution rather than only at closure.",Must,3,Extend,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Benefits Owner,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
VAL-025,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Time-to-value measurement,"The platform shall measure time from demand submission to decision, initiation, first usable outcome, full operational outcome, and benefit realization and shall identify avoidable delay by stage.",Must,3,Extend,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Benefits Owner,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
VAL-026,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Portfolio process integration,"Demand, strategy, program, project, resource, financial, risk, dependency, benefit, and reporting processes shall operate on connected records and shared identifiers rather than isolated module-specific copies.",Must,1,Configure,"Portfolio Value, Methods, Blueprints, and Enterprise Scaling",Solution Architect,Demonstration,Proposed,Partially implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,,Not Run,MVP hardening / 0.2.0,MVP reference implementation; see known limitations and acceptance checklist.,
PRJ-001,ProjectOS Execution and Delivery Management,Project workspace,"Each approved project shall have a user-level workspace for scope, objectives, end state, team, plan, tasks, schedule, resources, costs, risks, issues, dependencies, decisions, documents, status, and benefits.",Must,1,Integrate,ProjectOS Execution and Delivery Management,Project Manager,Demonstration,Proposed,Partially implemented,docs/USER_GUIDE.md#task-workspace,app/main.py; app/models.py; app/templates/project_detail.html; app/templates/_task_drawer.html,tests/test_v030.py,Automated test passed,0.3.0,"Project workspace now includes an operational task drawer, notes, evidence, files, comments, checklist, task relationships, WBS actions, and audit. Advanced schedule/document lifecycle remains roadmap.",
PRJ-002,ProjectOS Execution and Delivery Management,Project templates,"Authorized users shall create reusable templates for common DDC5I project types with default phases, milestones, tasks, checklists, roles, artifacts, gates, risks, and reporting cadence.",Must,1,Integrate,ProjectOS Execution and Delivery Management,PMO Lead,Demonstration,Proposed,Requires integration,,,,Not Run,Integration roadmap / Phase 1,MVP reference implementation; see known limitations and acceptance checklist.,
PRJ-003,ProjectOS Execution and Delivery Management,WBS,"Project managers shall create, import, edit, indent, sequence, and baseline a work breakdown structure with unique WBS identifiers and roll-up of dates, effort, cost, and percent complete.",Must,1,Integrate,ProjectOS Execution and Delivery Management,Project Manager,Demonstration,Proposed,Partially implemented,docs/USER_GUIDE.md#task-workspace,app/main.py; app/templates/project_detail.html,tests/test_v030.py::test_task_relationship_and_wbs_actions_are_persistent,Automated test passed,0.3.0,"WBS items can be sequenced, moved, indented/outdented, baselined, and opened in place. Import, aggregate roll-up, and full baseline/version management remain planned.",
PRJ-004,ProjectOS Execution and Delivery Management,Kanban and boards,Users shall manage tasks in configurable Kanban or board views with drag-and-drop status changes governed by permissions and workflow rules.,Must,1,Integrate,ProjectOS Execution and Delivery Management,Project Manager,Demonstration,Proposed,Partially implemented,docs/USER_GUIDE.md#task-workspace,app/main.py; app/static/app.js; app/templates/project_detail.html,tests/test_app.py; tests/test_v030.py,Automated test passed,0.3.0,"Kanban drag-and-drop persists authorized board-column changes and task cards open the detailed task workspace. WIP limits, configurable board administration, and keyboard reordering remain planned.",
PRJ-005,ProjectOS Execution and Delivery Management,Timeline and Gantt,"Users shall view and edit project schedules in timeline or Gantt views showing dependencies, milestones, baselines, critical path, and variance.",Must,1,Integrate,ProjectOS Execution and Delivery Management,Project Manager,Demonstration,Proposed,Requires integration,,,,Not Run,Integration roadmap / Phase 1,MVP reference implementation; see known limitations and acceptance checklist.,
PRJ-006,ProjectOS Execution and Delivery Management,Agile delivery,"Projects shall support backlogs, epics, features, stories, sprints, estimates, acceptance criteria, velocity, and retrospective notes where agile delivery is selected.",Must,2,Integrate,ProjectOS Execution and Delivery Management,Delivery Lead,Demonstration,Proposed,Requires integration,,,,Not Run,Integration roadmap / Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
PRJ-007,ProjectOS Execution and Delivery Management,Task detail,"Each task shall support owner, contributors, status, priority, dates, estimated and actual effort, percent complete, dependencies, checklist, notes, attachments, comments, tags, and acceptance evidence.",Must,1,Integrate,ProjectOS Execution and Delivery Management,Task Owner,Demonstration,Proposed,Implemented,docs/USER_GUIDE.md#task-workspace,app/main.py; app/static/app.js; app/templates/project_detail.html; app/templates/task_detail.html; app/templates/_task_drawer.html; app/services/storage.py,tests/test_v030.py; tests/test_v031.py::test_task_controls_have_drawer_and_reliable_full_page_fallback,Automated test passed,0.3.1,"Task detail supports the complete task workspace and now opens through a versioned JavaScript drawer with a shareable full-page fallback, preventing stale-bundle or JavaScript failures from leaving task controls nonfunctional.",
PRJ-008,ProjectOS Execution and Delivery Management,Dependency enforcement,"The platform shall support finish-to-start, start-to-start, finish-to-finish, and external milestone dependencies and shall warn users of invalid or broken schedule relationships.",Must,2,Integrate,ProjectOS Execution and Delivery Management,Project Manager,Demonstration,Proposed,Partially implemented,docs/USER_GUIDE.md#task-workspace,app/main.py; app/models.py; app/templates/_task_drawer.html,tests/test_v030.py::test_task_relationship_and_wbs_actions_are_persistent,Automated test passed,0.3.0,"Task relationships support finish-to-start, start-to-start, finish-to-finish, and related links. Schedule-logic validation and broken-relationship warnings remain planned.",
PRJ-009,ProjectOS Execution and Delivery Management,Milestone governance,"Projects shall identify key decision, delivery, integration, test, policy, funding, and external milestones with criteria, owner, forecast date, confidence, and status.",Must,1,Configure,ProjectOS Execution and Delivery Management,Project Manager,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
PRJ-010,ProjectOS Execution and Delivery Management,RAID management,"Projects shall maintain linked risks, assumptions, issues, decisions, and dependencies with owners, aging, response plans, escalation, and closure evidence.",Must,1,Configure,ProjectOS Execution and Delivery Management,Project Manager,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
PRJ-011,ProjectOS Execution and Delivery Management,Action tracking,"Meeting and governance actions shall be assigned, due-dated, linked to affected items, reminded, escalated, and closed with evidence.",Must,1,Configure,ProjectOS Execution and Delivery Management,Project Manager,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
PRJ-012,ProjectOS Execution and Delivery Management,Document management,"Users shall upload, link, version, categorize, preview, and search authorized project documents and associate them with tasks, milestones, risks, decisions, or deliverables.",Must,1,Integrate,ProjectOS Execution and Delivery Management,Knowledge Manager,Demonstration,Proposed,Partially implemented,docs/USER_GUIDE.md#task-files-and-evidence,app/main.py; app/models.py; app/services/storage.py; app/templates/_task_drawer.html,tests/test_v030.py::test_task_attachment_upload_download_and_delete; tests/test_v030.py::test_invalid_binary_signature_is_rejected,Automated test passed,0.3.0,"Authorized users can upload, describe, download, hash, and delete task files with extension, size, filename, and signature validation. Versioning, preview, full-text search, malware scanning, records metadata, and project-wide repository lifecycle remain planned.",
PRJ-013,ProjectOS Execution and Delivery Management,Status reporting,"Project managers shall submit a periodic status update recording the reporting period, reporter, accomplishments, planned activities, health, variances, decisions needed, resource needs, risks, roadblocks, changes since the prior report, and supporting evidence.",Must,1,Configure,ProjectOS Execution and Delivery Management,Project Manager,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
PRJ-014,ProjectOS Execution and Delivery Management,Automatic roll-up,"Approved project status, milestones, forecast dates, resource actuals, financial actuals, risks, and benefits shall feed division and senior dashboards without manual re-entry.",Must,1,Integrate,ProjectOS Execution and Delivery Management,Integration Owner,Demonstration,Proposed,Partially implemented,docs/USER_GUIDE.md#project-manager,app/main.py; app/models.py,e2e/test_status_rollup.py; tests/test_app.py,Automated test passed,0.3.0,"Project status, health, milestones, RAID, dependencies, financials, and benefits roll into division and executive views from canonical records. Full task/resource/financial actual aggregation requires expansion.",
PRJ-015,ProjectOS Execution and Delivery Management,Baseline and change control,"The platform shall baseline approved scope, schedule, cost, and resources and require authorized change control when configured tolerances are exceeded.",Must,2,Configure,ProjectOS Execution and Delivery Management,Change Control Board,Demonstration,Proposed,Planned,,,,Not Run,Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
PRJ-016,ProjectOS Execution and Delivery Management,Deliverable acceptance,"Each deliverable shall have an accountable producer, accepting authority, due date, acceptance criteria, version, disposition, and acceptance evidence.",Must,1,Configure,ProjectOS Execution and Delivery Management,Project Manager,Demonstration,Proposed,Partially implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,,Not Run,MVP hardening / 0.2.0,MVP reference implementation; see known limitations and acceptance checklist.,
PRJ-017,ProjectOS Execution and Delivery Management,Time and effort capture,"Team members shall record or import actual effort against authorized tasks or core-function work, with approval and correction workflows appropriate to policy.",Must,3,Integrate,ProjectOS Execution and Delivery Management,Resource Manager,Demonstration,Proposed,Requires integration,,,,Not Run,Integration roadmap / Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
PRJ-018,ProjectOS Execution and Delivery Management,Project calendar,"Project milestones, reviews, due dates, and selected tasks shall appear in a project calendar and optionally synchronize with authorized Outlook calendars.",Must,3,Integrate,ProjectOS Execution and Delivery Management,Project Manager,Demonstration,Proposed,Requires integration,,,,Not Run,Integration roadmap / Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
PRJ-019,ProjectOS Execution and Delivery Management,Project closure,"Closure shall verify deliverable acceptance, financial reconciliation, resource release, records disposition, lessons learned, unresolved actions, benefit ownership, and transition to operations.",Must,2,Configure,ProjectOS Execution and Delivery Management,Project Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
PRJ-020,ProjectOS Execution and Delivery Management,Mobile and tablet execution,"Authorized users shall review status, update tasks, approve actions, and access essential project information on supported tablets and mobile browsers.",Must,2,Configure,ProjectOS Execution and Delivery Management,Product Owner,Demonstration,Proposed,Planned,,,,Not Run,Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
PRJ-021,ProjectOS Execution and Delivery Management,ProjectOS interoperability,"The enterprise portfolio platform and ProjectOS shall use documented APIs and canonical identifiers so projects can be created, synchronized, reconciled, and rolled up without duplicate ownership of authoritative fields.",Must,1,Integrate,ProjectOS Execution and Delivery Management,Integration Owner,Demonstration,Proposed,Requires integration,,,,Not Run,Integration roadmap / Phase 1,MVP reference implementation; see known limitations and acceptance checklist.,
PRJ-022,ProjectOS Execution and Delivery Management,Schedule-state comparison,"Project and program schedules shall distinguish approved baseline, current plan, actual dates, and forecast dates and shall calculate variance at task, milestone, workstream, project, and program levels.",Must,2,Integrate,ProjectOS Execution and Delivery Management,Project Manager,Demonstration,Proposed,Requires integration,,,,Not Run,Integration roadmap / Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
RES-001,"People, Capacity, Skills, and Role Management",Resource catalog,"The platform shall maintain authorized resource records for government civilians, military personnel, contractors, shared services, teams, positions, vacancies, and non-labor resources needed for planning.",Must,3,Configure,"People, Capacity, Skills, and Role Management",Workforce Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
RES-002,"People, Capacity, Skills, and Role Management",Privacy-separated workforce data,The planning model shall use only the minimum workforce attributes needed for portfolio decisions and shall separate restricted personnel data from broadly visible capacity information.,Must,3,Configure,"People, Capacity, Skills, and Role Management",Privacy Officer,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
RES-003,"People, Capacity, Skills, and Role Management",Capacity calendars,"Resource capacity shall account for work schedules, leave assumptions, holidays, training, administrative overhead, duty restrictions, mobilizations, vacancies, and configurable productive-capacity factors.",Must,3,Configure,"People, Capacity, Skills, and Role Management",Resource Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
RES-004,"People, Capacity, Skills, and Role Management",Allocation by time period,"Managers shall allocate resources to projects and core functions by person, role, team, skill, percentage, hours, or FTE across weeks, months, quarters, and fiscal years.",Must,3,Likely OOTB,"People, Capacity, Skills, and Role Management",Resource Manager,Demonstration,Proposed,Partially implemented,docs/USER_GUIDE.md#v050-portfolio-governance,app/main.py; app/models.py; app/services/v050.py; app/templates/portfolio_reviews.html; app/templates/scenarios.html; app/templates/integrations.html; app/templates/data_quality.html,tests/test_v050.py,Automated acceptance test passed,0.5.0,Capacity and resource requests are time-phased by reporting period and requested start/end dates. Person-level calendars remain planned.,
RES-005,"People, Capacity, Skills, and Role Management",Planned versus actual effort,"The platform shall compare planned allocation, approved capacity, committed effort, and actual effort by person, role, team, division, project, core function, and time period.",Must,3,Configure,"People, Capacity, Skills, and Role Management",Resource Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
RES-006,"People, Capacity, Skills, and Role Management",Over-allocation detection,"The platform shall identify over-allocation, double booking, insufficient coverage, and underutilization using configurable thresholds and notify responsible managers.",Must,3,Configure,"People, Capacity, Skills, and Role Management",Resource Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
RES-007,"People, Capacity, Skills, and Role Management",Role-based planning,"Planning shall be possible using generic roles or teams before named personnel are selected, with later fulfillment tracking.",Must,3,Configure,"People, Capacity, Skills, and Role Management",Resource Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
RES-008,"People, Capacity, Skills, and Role Management",Skill taxonomy,"The platform shall maintain a governed taxonomy of skills, competencies, specialties, certifications, clearances or access prerequisites, proficiency levels, and currency dates.",Must,3,Extend,"People, Capacity, Skills, and Role Management",Workforce Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
RES-009,"People, Capacity, Skills, and Role Management",Skill profiles,"Authorized users shall maintain validated skill profiles for personnel and teams, including proficiency, evidence source, last validated date, and development interests where permitted.",Must,3,Configure,"People, Capacity, Skills, and Role Management",Workforce Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
RES-010,"People, Capacity, Skills, and Role Management",Skill demand,"Projects and core functions shall specify required roles, skills, proficiency, quantity, duration, location, access, and desired start date.",Must,3,Configure,"People, Capacity, Skills, and Role Management",Project Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
RES-011,"People, Capacity, Skills, and Role Management",Skill-gap analysis,"The platform shall compare current and forecast skill supply to approved and prospective demand by division and enterprise and show size, timing, and mission impact of gaps.",Must,3,Extend,"People, Capacity, Skills, and Role Management",Workforce Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
RES-012,"People, Capacity, Skills, and Role Management",Resource request workflow,"Project managers shall request named or role-based resources, and resource managers shall propose, approve, partially fulfill, decline, substitute, or schedule fulfillment.",Must,3,Configure,"People, Capacity, Skills, and Role Management",Resource Manager,Demonstration,Proposed,Implemented,docs/USER_GUIDE.md#v050-portfolio-governance,app/main.py; app/models.py; app/services/v050.py; app/templates/portfolio_reviews.html; app/templates/scenarios.html; app/templates/integrations.html; app/templates/data_quality.html,tests/test_v050.py,Automated acceptance test passed,0.5.0,"Resource request workflow supports project/core-work demand, role, skill, hours, period, priority, rationale, approval authority, disposition, and audit.",
RES-013,"People, Capacity, Skills, and Role Management",Commitment confidence,"Resource commitments shall include status and confidence, distinguishing requested, soft-booked, committed, assigned, onboarded, and released resources.",Must,3,Configure,"People, Capacity, Skills, and Role Management",Resource Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
RES-014,"People, Capacity, Skills, and Role Management",Vacancy and hiring impact,"The platform shall represent vacancies, anticipated losses, hiring or contract actions, expected onboarding dates, and the portfolio impact if dates change.",Must,4,Extend,"People, Capacity, Skills, and Role Management",Workforce Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 4,MVP reference implementation; see known limitations and acceptance checklist.,
RES-015,"People, Capacity, Skills, and Role Management",Contingent and contractor resources,"Planning shall distinguish government, military, contractor, and external partner resources and capture contract period, ceiling or capacity, labor category, and funding constraints as authorized.",Must,3,Configure,"People, Capacity, Skills, and Role Management",Resource Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
RES-016,"People, Capacity, Skills, and Role Management",Critical-role succession,"Leaders shall identify single points of failure, critical roles without backups, and projects or functions at risk from anticipated personnel changes.",Must,4,Extend,"People, Capacity, Skills, and Role Management",Workforce Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 4,MVP reference implementation; see known limitations and acceptance checklist.,
RES-017,"People, Capacity, Skills, and Role Management",Training and development demand,"Approved skill gaps may generate linked training, hiring, contracting, detail, or partnership actions with cost, owner, and expected readiness date.",Must,4,Extend,"People, Capacity, Skills, and Role Management",Workforce Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 4,MVP reference implementation; see known limitations and acceptance checklist.,
RES-018,"People, Capacity, Skills, and Role Management",Resource optimization,"The platform shall recommend feasible resource reassignments or schedule changes based on priorities, skills, availability, constraints, and minimum staffing rules, subject to human approval.",Must,5,Extend,"People, Capacity, Skills, and Role Management",Resource Manager,Demonstration,Proposed,Deferred,,,,Not Run,Phase 5,MVP reference implementation; see known limitations and acceptance checklist.,
RES-019,"People, Capacity, Skills, and Role Management",Minimum core-function coverage,"Division leaders shall define minimum staffing and critical-skill coverage for core functions, and the platform shall warn when project assignments would violate those thresholds.",Must,3,Extend,"People, Capacity, Skills, and Role Management",Division Chief,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
RES-020,"People, Capacity, Skills, and Role Management",External contribution,The resource plan shall capture expected and actual labor or capability contributed by external stakeholders without treating external personnel as DDC5I-owned capacity.,Must,3,Extend,"People, Capacity, Skills, and Role Management",Stakeholder Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
RES-021,"People, Capacity, Skills, and Role Management",Planned and unplanned demand,"Capacity analysis shall include approved projects, recurring core functions, planned administrative work, forecast demand, and recorded unplanned or emergent work so available capacity is not overstated.",Must,3,Extend,"People, Capacity, Skills, and Role Management",Resource Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
RES-022,"People, Capacity, Skills, and Role Management",Interactive reallocation impact,"Resource managers shall model or propose reallocations and immediately view the resulting schedule, cost, skill-coverage, core-function, priority, and risk impacts before committing the change.",Must,4,Extend,"People, Capacity, Skills, and Role Management",Resource Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 4,MVP reference implementation; see known limitations and acceptance checklist.,
FIN-001,"Budget, Cost, Actuals, and Investment Management",Financial hierarchy,"The platform shall support fiscal years, appropriations or funding types, programs, cost centers, lines of effort, projects, core functions, and configurable financial reference structures.",Must,3,Configure,"Budget, Cost, Actuals, and Investment Management",Financial Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
FIN-002,"Budget, Cost, Actuals, and Investment Management",Budget lifecycle,"Users shall capture requested, planned, approved, distributed, committed, obligated, expended, forecast, and remaining amounts as available from authoritative sources.",Must,3,Configure,"Budget, Cost, Actuals, and Investment Management",Financial Manager,Demonstration,Proposed,Partially implemented,docs/USER_GUIDE.md#v050-portfolio-governance,app/main.py; app/models.py; app/services/v050.py; app/templates/portfolio_reviews.html; app/templates/scenarios.html; app/templates/integrations.html; app/templates/data_quality.html,tests/test_v050.py,Automated acceptance test passed,0.5.0,"Financial baseline plus commitment, obligation, expenditure, and forecast-adjustment transactions support a governed local lifecycle. Authoritative accounting integration remains required.",
FIN-003,"Budget, Cost, Actuals, and Investment Management",Budget versus actual,"Leaders shall compare budget, commitments, obligations, expenditures, accruals where used, estimate to complete, and estimate at completion by project, function, division, portfolio, and fiscal period.",Must,3,Configure,"Budget, Cost, Actuals, and Investment Management",Financial Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
FIN-004,"Budget, Cost, Actuals, and Investment Management",Cost categories,"Costs shall be categorized at minimum as labor, contract support, travel, training, software, hardware, cloud or hosting, facilities, data, integration, and other configurable categories.",Must,3,Configure,"Budget, Cost, Actuals, and Investment Management",Financial Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
